,WVHT,DPD,APD,MWD,WTMP
0,1.19,8.33,5.8,120.0,11.8
1,1.15,7.69,5.89,132.0,11.8
2,1.12,7.14,5.78,147.0,11.7
3,1.05,7.14,5.61,143.0,11.7
4,0.99,6.67,5.58,151.0,11.7
5,1.01,7.14,5.69,158.0,11.7
6,1.03,7.14,5.74,151.0,11.7
7,0.97,7.69,5.67,136.0,11.6
8,0.95,7.69,5.68,132.0,11.6
9,0.94,7.69,5.74,132.0,11.6
10,0.94,7.69,5.8,129.0,11.6
11,0.91,8.33,5.81,123.0,11.6
12,0.9,7.14,5.85,133.0,11.6
13,0.91,7.14,5.95,130.0,11.6
14,0.9,7.14,5.93,129.0,11.6
15,0.97,7.14,5.98,129.0,11.5
16,0.97,7.14,6.03,129.0,11.5
17,0.92,6.67,5.96,140.0,11.5
18,0.97,7.14,5.88,129.0,11.5
19,0.92,7.69,5.87,129.0,11.5
20,1.0,7.69,6.02,130.0,11.5
21,0.91,7.14,5.34,130.0,11.5
22,0.92,7.14,5.28,137.0,11.5
23,1.05,6.67,5.28,147.0,11.5
24,0.99,7.69,4.92,123.0,11.5
25,0.94,7.14,4.85,141.0,11.5
26,0.95,7.69,4.93,133.0,11.5
27,0.91,7.69,4.84,134.0,11.5
28,0.91,7.14,5.0,154.0,11.5
29,0.83,7.69,4.58,125.0,11.5
30,0.79,7.69,4.41,143.0,11.5
31,0.81,7.14,4.69,149.0,11.6
32,0.77,7.14,4.6,150.0,11.6
33,0.76,7.69,5.01,133.0,11.5
34,0.72,7.69,4.75,133.0,11.5
35,0.78,7.69,4.72,126.0,11.5
36,0.71,7.14,4.51,136.0,11.5
37,0.69,7.14,4.72,134.0,11.5
38,0.71,7.14,4.41,137.0,11.5
39,0.76,6.67,4.02,137.0,11.5
40,0.8,7.14,4.06,127.0,11.5
41,0.82,6.67,4.0,127.0,11.6
42,0.81,6.67,4.12,137.0,11.6
43,0.74,6.67,3.92,140.0,11.6
44,0.76,6.67,4.06,134.0,11.6
45,0.73,6.67,3.84,136.0,11.6
46,0.74,6.67,3.84,140.0,11.6
47,0.71,6.67,3.93,146.0,11.6
48,0.67,6.67,3.85,137.0,11.6
49,0.66,7.14,3.83,123.0,11.6
50,0.64,6.67,4.18,139.0,11.6
51,0.61,7.14,3.99,122.0,11.6
52,0.6,7.14,3.96,119.0,11.5
172,0.52,9.88,3.56,96.0,10.4
173,0.48,11.11,3.58,94.0,10.4
2454,0.8,4.76,4.39,170.0,9.9
2455,0.81,5.0,4.34,171.0,9.9
2456,0.79,5.0,4.4,168.0,10.0
2457,0.84,5.26,4.5,158.0,10.0
2458,0.92,5.0,4.61,156.0,10.0
2459,0.86,5.0,4.49,161.0,9.9
2461,1.0,5.0,4.3,160.0,9.9
2471,1.31,6.25,5.43,153.0,9.9
2472,1.21,6.67,5.5,144.0,10.0
2473,1.15,6.25,5.38,149.0,10.0
2474,1.18,6.25,5.5,153.0,10.0
2475,1.41,6.67,6.0,146.0,9.9
2478,1.43,7.69,6.38,144.0,9.9
2479,1.54,7.69,6.56,147.0,9.9
2535,0.83,8.33,6.31,137.0,10.2
2536,0.88,7.69,5.33,151.0,10.0
2548,1.57,5.0,4.44,81.0,9.9
2550,1.46,5.0,4.46,82.0,10.0
2551,1.38,5.26,4.57,88.0,10.0
2552,1.42,5.26,4.61,87.0,10.0
2553,1.27,5.56,4.59,87.0,10.0
2554,1.3,5.26,4.57,81.0,10.0
2555,1.25,5.56,4.56,87.0,10.0
2556,1.1,7.14,4.55,151.0,10.0
2557,1.09,5.56,4.51,92.0,10.0
2558,1.13,5.0,4.75,80.0,10.0
2559,1.05,5.0,4.85,78.0,10.0
2560,0.97,7.69,4.79,137.0,10.0
2561,0.92,7.69,4.77,134.0,10.0
2562,0.84,7.69,4.65,143.0,10.0
2563,0.89,7.69,4.88,141.0,10.0
2564,0.79,7.69,4.91,130.0,10.0
2565,0.82,7.69,5.22,143.0,10.0
2566,0.82,7.69,4.94,139.0,10.0
2567,0.75,7.69,4.92,132.0,10.0
2568,0.74,7.69,5.16,133.0,10.0
2569,0.68,7.14,5.17,137.0,10.0
2570,0.69,7.69,5.22,139.0,10.0
2571,0.68,7.14,5.27,137.0,10.0
2572,0.64,7.14,5.08,140.0,10.0
2573,0.66,7.14,5.16,134.0,10.0
2574,0.72,7.14,4.22,144.0,10.0
2575,0.76,7.14,4.09,140.0,10.0
2576,0.77,7.14,3.94,137.0,10.0
2577,0.78,7.69,4.07,132.0,10.0
2578,0.74,7.69,3.92,136.0,10.0
2579,0.74,7.14,3.85,129.0,10.0
2580,0.74,7.69,4.07,129.0,10.0
2581,0.68,8.33,4.09,115.0,10.1
2582,0.71,7.69,3.93,129.0,10.1
2583,0.73,7.14,3.84,127.0,10.1
2584,0.73,7.69,3.7,115.0,10.1
2588,0.64,7.69,3.88,123.0,10.1
2589,0.63,7.69,3.76,119.0,10.1
2657,0.94,6.25,3.98,182.0,10.0
2659,0.84,6.25,4.02,186.0,10.0
2660,0.81,5.88,4.05,186.0,10.0
2670,0.83,8.33,3.89,164.0,9.9
2671,0.85,7.69,3.66,163.0,9.9
2692,0.59,7.69,5.32,164.0,9.9
2693,0.58,7.14,5.41,168.0,9.9
2694,0.55,7.14,5.2,168.0,9.9
2695,0.54,7.14,4.41,167.0,9.9
2696,0.61,7.69,4.08,163.0,9.9
2748,0.54,11.76,3.92,101.0,9.9
2795,0.52,11.76,4.45,102.0,9.9
2796,0.55,11.76,4.16,101.0,9.9
3017,0.88,10.53,6.29,99.0,9.9
3063,0.73,11.11,6.55,98.0,10.5
3065,0.71,10.53,5.39,102.0,10.4
3066,0.74,11.11,5.1,94.0,10.2
3067,0.81,11.76,4.98,104.0,10.1
3070,0.77,11.76,5.14,105.0,10.0
3102,0.54,11.76,6.09,111.0,10.0
3109,0.51,11.76,5.79,108.0,10.5
3112,0.58,10.53,5.01,101.0,10.3
3113,0.57,11.11,4.68,108.0,10.3
3115,0.58,11.76,4.3,99.0,10.2
3117,0.55,11.76,4.41,102.0,10.2
3118,0.5,11.76,4.59,104.0,10.1
3119,0.5,11.11,4.9,92.0,10.1
3122,0.48,10.53,6.06,98.0,10.1
3142,0.49,11.11,6.11,98.0,10.0
3144,0.48,11.76,5.84,105.0,9.9
3146,0.48,11.11,5.79,98.0,10.0
3148,0.48,10.53,6.03,113.0,10.3
3153,0.49,11.11,5.39,104.0,10.7
3154,0.51,11.11,5.52,99.0,10.7
3180,0.49,10.53,4.51,109.0,10.7
3181,0.49,11.11,4.59,108.0,10.6
3182,0.51,11.76,4.74,118.0,10.6
3183,0.53,11.76,4.56,113.0,10.6
3184,0.56,4.35,4.59,175.0,10.6
3185,0.54,4.35,4.55,175.0,10.5
3186,0.53,4.17,4.53,178.0,10.5
3187,0.52,4.17,4.48,175.0,10.5
3188,0.52,4.35,4.49,175.0,10.5
3189,0.54,4.35,4.67,181.0,10.5
3191,0.5,4.17,4.55,181.0,10.5
3192,0.48,10.53,4.72,116.0,10.5
3225,0.48,11.11,4.18,118.0,11.3
3227,0.48,11.11,4.32,120.0,11.5
3228,0.48,11.76,4.31,119.0,11.6
3229,0.52,10.53,4.55,119.0,11.6
3230,0.52,4.35,4.4,156.0,11.7
3231,0.58,4.55,4.46,161.0,11.6
3232,0.53,4.17,4.32,158.0,11.8
3233,0.53,4.35,4.35,158.0,11.8
3234,0.54,4.35,4.38,156.0,11.5
3235,0.55,4.35,4.36,156.0,11.4
3236,0.56,4.35,4.31,154.0,11.4
3237,0.57,4.55,4.47,151.0,11.5
3238,0.63,4.55,4.53,163.0,11.5
3239,0.64,5.26,4.75,164.0,11.5
3240,0.69,5.56,4.93,168.0,11.6
3241,0.7,5.88,4.94,167.0,11.6
3242,0.69,5.88,5.21,165.0,11.7
3243,0.66,5.56,5.18,165.0,11.7
3244,0.67,5.88,5.19,165.0,11.9
3245,0.7,5.88,5.38,168.0,11.9
3246,0.71,5.56,5.39,168.0,11.9
3247,0.78,5.88,5.39,163.0,12.0
3248,0.86,5.56,5.45,160.0,12.0
3249,0.9,6.25,5.37,164.0,12.1
3250,1.06,6.67,5.59,160.0,12.1
3251,1.11,6.67,5.56,154.0,11.9
3252,1.17,6.25,5.51,158.0,11.9
3253,1.23,6.25,5.51,156.0,11.8
3254,1.29,6.25,5.45,150.0,11.8
3255,1.31,6.67,5.55,151.0,11.8
3256,1.28,6.67,5.61,156.0,11.8
3257,1.23,6.25,5.52,153.0,11.8
3258,1.2,6.25,5.58,158.0,11.8
3259,1.13,6.67,5.54,160.0,11.7
3260,1.18,6.67,5.64,161.0,11.8
3261,1.17,6.67,5.55,157.0,11.8
3262,1.13,7.14,5.59,158.0,11.9
3263,1.1,7.14,5.6,161.0,11.8
3264,1.02,6.67,5.47,156.0,11.8
3265,1.06,7.14,5.55,157.0,11.8
3266,1.14,7.14,5.75,163.0,11.8
3267,1.14,7.14,5.78,160.0,11.7
3268,1.07,7.69,5.6,163.0,11.7
3269,1.05,6.67,5.6,160.0,11.6
3270,1.12,7.14,5.78,160.0,11.6
3271,1.13,7.14,5.86,154.0,11.6
3272,1.33,7.14,5.73,160.0,11.5
3306,1.65,11.11,6.52,126.0,11.8
3310,1.53,9.88,6.5,132.0,11.6
